strategy,label,optimizer,epoch,lr,train_loss,train_acc,val_loss,val_acc,params,use_batchnorm,use_dropout,dropout_ratio,init_method
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,1,0.01,0.2799909760781622,97.0,0.11228679868608585,96.35000000000001,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,2,0.006,0.14518936043860584,98.08,0.07962278792559345,97.50999999999999,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,3,0.0036,0.11048262358015058,98.77,0.06477419899648046,98.03,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,4,0.0021599999999999996,0.08733421914233365,99.08,0.06086849958462883,98.00999999999999,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,5,0.001296,0.07474345329136654,99.31,0.05599792482017652,98.21,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,6,0.0007775999999999998,0.06580326002502335,99.39,0.05402524611810696,98.28,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,7,0.0004665599999999999,0.062178758576381894,99.41,0.05249129939794949,98.25,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,8,0.00027993599999999994,0.05738530725855917,99.47,0.05184735564384992,98.34,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,9,0.00016796159999999993,0.05386947965005727,99.5,0.052091672341492735,98.38,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,10,0.00010077695999999997,0.05281671441297422,99.51,0.05162311078745199,98.36,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,11,6.0466175999999974e-05,0.053277789840693604,99.48,0.05170016767732433,98.4,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,12,3.627970559999999e-05,0.05331511642235186,99.56,0.05095363037262952,98.41,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,13,2.1767823359999992e-05,0.05238006466596491,99.53,0.05124368019841556,98.41,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,14,1.3060694015999994e-05,0.05273578875849726,99.56,0.051397342636974576,98.38,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,15,7.836416409599996e-06,0.05286385908489936,99.53,0.05105568193376221,98.39,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,16,4.701849845759998e-06,0.05202565015578067,99.55000000000001,0.052066518144867055,98.37,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,17,2.8211099074559985e-06,0.05333678124115258,99.53999999999999,0.05189642808193441,98.38,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,18,1.6926659444735988e-06,0.05357893102192177,99.52,0.05118377799150932,98.4,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,19,1.0155995666841593e-06,0.055550727561188555,99.58,0.05113053810106187,98.41,537354,True,True,0.5,he
adam_lr_decay,Adam lr decay 0.01*0.6^epoch + BN + Dropout,Adam,20,6.093597400104956e-07,0.05277007010394586,99.53999999999999,0.051479344087417916,98.37,537354,True,True,0.5,he
